obs,tic,gvkey,conm_x,CrossVerified_ExecType,DirectorName,Ethnicity,Race(black),BE_fromBermissData,Actual_Bermiss_discrepancy,Minority,Gender,Female,Num_Black_TMT,Active2020,CEO_Appointment_date_within_2020,DirectorName_source
1,MMM,7435,3M CO,CEO,Mike Roman,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
2,ABBV,16101,ABBVIE INC,CEO,Rick Gonzalez,Hispanic/Latino,0,,0,1,M,0,0,Yes,,BoardEx
3,ABMD,13619,ABIOMED INC,CEO,Mike Minogue,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
4,ATVI,180405,ACTIVISION BLIZZARD INC,CEO,Bobby Kotick,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
5,ADBE,12540,ADOBE INC,CEO,Shantanu Narayen,Asian/Indian,0,,0,1,M,0,0,Yes,,BoardEx
6,AAP,145977,ADVANCE AUTO PARTS INC,CEO,Tom Greco,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
7,AMD,1161,ADVANCED MICRO DEVICES,CEO,Doctor Lisa Su,Asian,0,,0,1,F,1,0,Yes,,BoardEx
8,AES,24216,AES CORP (THE),CEO,Doctor Andres Gluski Weilert,Hispanic/Latino,0,,0,1,M,0,0,Yes,,BoardEx
9,AFL,1449,AFLAC INC,TMT,Audrey Boone Tillman,African American/Black,1,1,0,1,F,1,2,Yes,,Bermiss
10,AFL,1449,AFLAC INC,TMT,Teresa White,African American/Black,1,1,0,1,F,1,2,Yes,,Bermiss
11,A,126554,AGILENT TECHNOLOGIES INC,CEO,Mike McMullen,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
12,APD,1209,AIR PRODUCTS & CHEMICALS INC,CEO,Seifi Ghasemi,Middle Eastern/Iranian,0,,0,1,M,0,0,Yes,,BoardEx
13,AKAM,125595,AKAMAI TECHNOLOGIES INC,CEO,Doctor Tom Leighton,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
14,ALK,1230,ALASKA AIR GROUP INC,CEO,Brad Tilden,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
15,ARE,64821,ALEXANDRIA R E EQUITIES INC,CEO,Jean-Louis Servranckx,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
16,ARE,64821,ALEXANDRIA R E EQUITIES INC,TMT,Joel Marcus,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
17,ALXN,62263,ALEXION PHARMACEUTICALS INC,CEO,Doctor Ludwig Hantson,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
18,ALGN,141384,ALIGN TECHNOLOGY INC,CEO,Joe Hogan,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
19,LNT,11554,ALLIANT ENERGY CORP,CEO,John Larsen,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
20,ALL,28349,ALLSTATE CORP,CEO,Tom Wilson II,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
21,GOOGL,160329,ALPHABET INC,CEO,Sundar Pichai,Asian/Indian,0,,0,1,M,0,1,Yes,,BoardEx
22,GOOG,,ALPHABET INC.,TMT,Robin Washington,African American/Black,1,,0,1,F,1,1,Yes,,manually added
23,GOOG,,ALPHABET INC.,CEO,Sundar Pichai,Asian/Indian,0,,0,1,M,0,1,Yes,,BoardEx
24,AMZN,64768,AMAZON.COM INC,CEO,Jeff Bezos,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
25,AEE,10860,AMEREN CORP,CEO,Warner Baxter,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
26,AAL,1045,AMERICAN AIRLINES GROUP INC,CEO,Doug Parker Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
27,AEP,1440,AMERICAN ELECTRIC POWER CO,CEO,Nick Akins,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
28,AXP,1447,AMERICAN EXPRESS CO,TMT,Anre Williams,African American/Black,1,1,0,1,M,0,2,Yes,,Bermiss
29,AXP,1447,AMERICAN EXPRESS CO,TMT,Kim Goodman,African American/Black,1,1,0,1,F,1,2,Yes,,Bermiss
30,AXP,1447,AMERICAN EXPRESS CO,CEO,Steve Squeri,Caucasian/White,0,1,1,0,M,0,2,Yes,,BoardEx
31,AMP,164708,AMERIPRISE FINANCIAL INC,CEO,Jim Cracchiolo,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
32,AME,1598,AMETEK INC,CEO,David Zapico,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
33,AME,1598,AMETEK INC,TMT,Mike McInnis,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
34,AMGN,1602,AMGEN INC,CEO,Bob Bradway,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
35,APH,14282,AMPHENOL CORP,CEO,Richard Norwitt,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
36,ADI,1632,ANALOG DEVICES INC,CEO,Vincent Roche,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
37,ANSS,63080,ANSYS INC,CEO,Doctor Ajei Gopal,Asian/Indian,0,,0,1,M,0,0,Yes,,BoardEx
38,APA,1678,APA CORP,CEO,John Christmann IV,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
39,AIV,30490,APARTMENT INVST & MGMT CO,CEO,The Hon. Terry Considine,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
40,AAPL,1690,APPLE INC,CEO,Tim Cook,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
41,AMAT,1704,APPLIED MATERIALS INC,CEO,Gary Dickerson,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
42,ADM,1722,ARCHER-DANIELS-MIDLAND CO,CEO,Juan Luciano,Hispanic/Latino,0,,0,1,M,0,0,Yes,,BoardEx
