obs,tic,gvkey,conm_x,CrossVerified_ExecType,DirectorName,Ethnicity,Race(black),BE_fromBermissData,Actual_Bermiss_discrepancy,Minority,Gender,Female,Num_Black_TMT,Active2020,CEO_Appointment_date_within_2020,DirectorName_source
1,AFL,1449,AFLAC INC,TMT,Audrey Boone Tillman,African American/Black,1,1,0,1,F,1,2,Yes,,Bermiss
2,AFL,1449,AFLAC INC,TMT,Teresa White,African American/Black,1,1,0,1,F,1,2,Yes,,Bermiss
3,ARE,64821,ALEXANDRIA R E EQUITIES INC,TMT,Joel Marcus,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
4,GOOG,,ALPHABET INC.,TMT,Robin Washington,African American/Black,1,,0,1,F,1,1,Yes,,manually added
5,AXP,1447,AMERICAN EXPRESS CO,TMT,Anre Williams,African American/Black,1,1,0,1,M,0,2,Yes,,Bermiss
6,AXP,1447,AMERICAN EXPRESS CO,TMT,Kim Goodman,African American/Black,1,1,0,1,F,1,2,Yes,,Bermiss
7,AME,1598,AMETEK INC,TMT,Mike McInnis,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
8,ANET,20748,ARISTA NETWORKS INC,TMT,Doctor Andy von Bechtolsheim,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
9,T,9899,AT&T INC,TMT,Xavier Williams,African American/Black,1,1,0,1,M,0,1,Yes,,Bermiss
10,ATO,4383,ATMOS ENERGY CORP,TMT,Kim Cocklin,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
11,WRB,14822,BERKLEY (W R) CORP,TMT,Wm Berkley Sr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
12,BRK.B,2176,BERKSHIRE HATHAWAY,TMT,Ajit Jain,Asian/Indian,0,,0,1,M,0,0,Yes,,BoardEx
13,BRK.B,2176,BERKSHIRE HATHAWAY,TMT,Charlie Munger,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
14,BRK.B,2176,BERKSHIRE HATHAWAY,TMT,Greg Abel,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
15,BBY,2184,BEST BUY CO INC,TMT,Hubert Joly,Caucasian/White,0,0,0,0,M,0,0,Yes,,BoardEx
16,BA,2285,BOEING CO,TMT,James Bell,African American/Black,1,1,0,1,M,0,1,No,,Bermiss
17,BSX,25279,BOSTON SCIENTIFIC CORP,TMT,Mark Eaton,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
