obs,1num,2num,tic,3num,3CompanyID,1conm_x,2Company,3CompanyName,gvkey,1ceo_minority,2ExecType,2director_name,2BE(Black?),*name,3ethnicity (from boardex),discrepancy_2.Bermiss_3.BoardEx,*ceo_race,*ceo_successor_race,2Female,2ceo_gender,*ceo_gender,*ceo_successor_gender,ceo_name_2020_changed,source_verifying discrepant ceo name,*ExecType,*BlackTMTnum,*BlackTMT?,2First,2Last,3RoleName,3DirectorName,3Seniority,3ceo?,3DateStartRole,3DateEndRole,*2020active,3DirectorID,2AnnDate,2permno,2Confounded,2Interim
638,484,105,TRV,596,469152,TRAVELERS COS INC,The Travelers Companies,THE TRAVELERS COMPANIES INC (St Paul Travelers Companies Inc prior to 02/2007),62689,0,CEO,Alan Schnitzer,0,Alan Schnitzer,CAUCASIAN/WHITE,No,White,,0,Male,Male,,,,CEO,,,Alan,Schnitzer,Chairman/CEO,Alan Schnitzer,Executive Director,1,8/1/17,,Yes,533891,8/4/15,59459,0,0
75,55,177,KO,140,7204,COCA-COLA CO,Coca-Cola,COCA-COLA CO,3144,0,TMT,Alexander Cummings,1,James Quincey,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,https://www.coca-colacompany.com/about-us/leadership/james-quincey,TMT,,0,Alexander,Cummings,Chairman/CEO,James Quincey,Executive Director,1,4/24/19,,Yes,877797,7/17/08,11308,1,
393,299,164,GM,654,1673114,GENERAL MOTORS CO,General Motors,GENERAL MOTORS CO,5073,0,TMT,Alicia Boler Davis,1,Mary T. Barra,CAUCASIAN/WHITE,Yes,White,,1,Female,Female,,,,TMT,,0,Alicia,Boler Davis,Chair/CEO,Mary Barra,Executive Director,1,1/4/16,,Yes,892349,6/9/16,12369,1,
20,14,173,HD,281,14982,HOME DEPOT INC,Home Depot,HOME DEPOT INC,5680,0,TMT,Ann-Marie Campbell,1,Craig Menear,CAUCASIAN/WHITE,Yes,White,,1,Male,Male,,,,TMT,,0,Ann-Marie,Campbell,Chairman/President/CEO,Craig Menear,Executive Director,1,2/2/15,10/5/20,Yes,536170,1/19/16,66181,0,
589,451,252,AXP,13,1355,AMERICAN EXPRESS CO,American Express,ALEXION PHARMACEUTICALS INC (De-listed 07/2021),1447,0,TMT,Anr_ Williams,1,Stephen J. Squeri,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Anr_,Williams,CEO,Doctor Ludwig Hantson,Executive Director,1,3/27/17,7/21/21,Yes,1077323,11/4/11,59176,1,
591,451,252,AXP,22,1815,AMERICAN EXPRESS CO,American Express,AMERICAN EXPRESS CO,1447,0,TMT,Anr_ Williams,1,Stephen J. Squeri,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Anr_,Williams,Chairman/CEO,Steve Squeri,Executive Director,1,2/1/18,,Yes,455385,11/4/11,59176,1,
169,128,15,CCL,105,5867,CARNIVAL CORPORATION & PLC,Carnival & plc,CARNIVAL CORP,13498,1,CEO,Arnold Donald,1,Arnold Donald,BLACK/AFRICAN AMERICAN,No,Black,,0,Male,Male,,,https://www.carnivalcorporation.com/static-files/48701769-9f2c-48c6-ac4f-4772bad2ff8b,CEO,,,Arnold,Donald,President/CEO,Arnold Donald,Executive Director,1,7/3/13,1/1/22,Yes,35264,6/24/13,89728,0,0
168,128,15,CCL,104,5867,CARNIVAL CORPORATION & PLC,Carnival & plc,CARNIVAL CORP,13498,1,CEO,Arnold Donald,1,Arnold Donald,BLACK/AFRICAN AMERICAN,No,Black,,0,Male,Male,,,https://www.carnivalcorporation.com/static-files/48701769-9f2c-48c6-ac4f-4772bad2ff8b,CEO,,,Arnold,Donald,Chairman (Executive),Micky Arison,Executive Director,1,7/3/13,,Yes,27496,6/24/13,89728,0,0
24,16,165,AFL,,,AFLAC INC,A_ac,,1449,0,TMT,Audrey Boone Tillman,1,Daniel P. Amos,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,https://www.aflac.com/about-aflac/our-company/management-team.aspx,TMT,,0,Audrey,Boone Tillman,,,,,,,Yes,,5/5/14,57904,1,
313,242,228,XRX,573,33850,XEROX HOLDINGS CORP,Xerox,XEROX HOLDINGS CORP (Xerox Corp prior to 08/2019),11636,0,TMT,Barry Rand,1,"	John Visentin",CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Barry,Rand,Vice Chairman/CEO,John Visentin,Executive Director,1,5/14/18,6/28/22,Yes,1117881,2/4/92,27983,1,
