1num,gvkey,2num,tic,3num,1conm_x,2Company,3CompanyName,1ceo_minority,1ethnicity (from boardex),2BE,1ceo_race(black),ceo_race,1ceo_name,2First,2Last,3DirectorName,3Unnamed: 10,ceo_name,2Female,ceo_gender,2ExecType,3ceo?,3RoleName,3Seniority,3DateStartRole,3DateEndRole,2AnnDate,2permno,2Confounded,2Interim,3CompanyID,3DirectorID
1,25119,,MHK,383,MOHAWK INDUSTRIES INC,,MOHAWK INDUSTRIES INC,0,CAUCASIAN/WHITE,,,,,,,Jeff Lorberbaum,Jeff Lorberbaum,,,,,1,Chairman/CEO,Executive Director,11/4/09,C,,,,,20964,64542
2,24617,,ODFL,406,OLD DOMINION FREIGHT,,OLD DOMINION FREIGHT LINE INC,0,CAUCASIAN/WHITE,,,,,,,Earl Congdon Jr,Earl Congdon Jr,,,,,1,Senior Chairman (Executive),Executive Director,5/16/18,1/1/21,,,,,23040,272624
2,24617,,ODFL,407,OLD DOMINION FREIGHT,,OLD DOMINION FREIGHT LINE INC,0,CAUCASIAN/WHITE,,,,,,,David Congdon,David Congdon,,,,,1,Chairman (Executive),Executive Director,5/16/18,C,,,,,23040,272632
2,24617,,ODFL,408,OLD DOMINION FREIGHT,,OLD DOMINION FREIGHT LINE INC,0,CAUCASIAN/WHITE,,,,,,,Greg Gantt,Greg Gantt,,,,,1,President/CEO,Executive Director,5/16/18,6/30/23,,,,,23040,896206
3,6829,17,LOW,350,LOWE'S COS INC,Lowe¡¯s Companies,LOWE'S COS INC,1,BLACK/AFRICAN AMERICAN,1,,black,,Marvin,Ellison,Marvin Ellison,Marvin Ellison,Marvin Ellison,0,Male,CEO,1,President/CEO,Executive Director,7/2/18,6/1/21,5/22/18,61399,0,0,19193,489833
4,5783,,JBHT,290,HUNT (JB) TRANSPRT SVCS INC,,HUNT(J.B.)TRANSPORT SERVICES INC,0,CAUCASIAN/WHITE,,,,,,,James Thompson,James Thompson,,,,,1,Chairman,Executive Director,1/1/11,1/1/21,,,,,15223,141642
4,5783,,JBHT,291,HUNT (JB) TRANSPRT SVCS INC,,HUNT(J.B.)TRANSPORT SERVICES INC,0,CAUCASIAN/WHITE,,,,,,,John Roberts III,John Roberts III,,,,,1,President/CEO,Executive Director,1/1/11,8/1/22,,,,,15223,497950
5,11259,91,WMT,561,WALMART INC,Wal-Mart Stores,WALMART INC (Wal-Mart Stores Inc prior to 02/2018),0,CAUCASIAN/WHITE,0,,non-black,,C. Douglas,McMillon,Doug McMillon,Doug McMillon,C. Douglas McMillon,0,Male,CEO,1,President/CEO,Executive Director,2/1/14,C,11/25/13,55976,0,0,33046,32097
6,14960,,LH,331,LABORATORY CP OF AMER HLDGS,,LABORATORY CORP OF AMERICA HLDGS (LABCORP),0,CAUCASIAN/WHITE,,,,,,,Dave King,Dave King,,,,,1,Chairman (Executive),Executive Director,10/31/19,5/13/20,,,,,18319,205961
6,14960,,LH,332,LABORATORY CP OF AMER HLDGS,,LABORATORY CORP OF AMERICA HLDGS (LABCORP),0,CAUCASIAN/WHITE,,,,,,,Adam Schechter,Adam Schechter,,,,,1,President/CEO,Executive Director,11/1/19,5/13/20,,,,,18319,495421
7,10793,,TSN,529,TYSON FOODS INC -CL A,,TYSON FOODS INC,0,CAUCASIAN/WHITE,,,,,,,John Tyson,John Tyson,,,,,1,Chairman (Executive),Executive Director,11/17/11,C,,,,,31563,140460
7,10793,,TSN,530,TYSON FOODS INC -CL A,,TYSON FOODS INC,0,CAUCASIAN/WHITE,,,,,,,Noel White,Noel White,,,,,1,CEO,Executive Director,12/20/19,10/3/20,,,,,31563,453851
8,7146,,MKC,363,MCCORMICK & CO INC,,MCCORMICK & CO INC,0,CAUCASIAN/WHITE,,,,,,,Lawrence Kurzius,Lawrence Kurzius,,,,,1,Chairman/President/CEO,Executive Director,1/31/17,6/1/22,,,,,19939,481697
9,8151,81,OKE,411,ONEOK INC,"ONEOK, Inc.",ONEOK INC (WAI Inc prior to 11/1997),0,CAUCASIAN/WHITE,0,,non-black,,John,Gibson,Terry Spencer,Terry Spencer,John Gibson,0,Male,CEO,1,President/CEO,Executive Director,1/31/14,6/28/21,11/16/06,25232,1,0,23165,620137
9,8151,155,OKE,411,ONEOK INC,Oneok Inc,ONEOK INC (WAI Inc prior to 11/1997),0,CAUCASIAN/WHITE,0,,non-black,,David,Kyle,Terry Spencer,Terry Spencer,David Kyle,0,Male,CEO,1,President/CEO,Executive Director,1/31/14,6/28/21,8/29/00,25232,0,0,23165,620137
10,164296,,TWX,,WarnerMedia,,,0,CAUCASIAN/WHITE,,,,,,,,,,,,,,,,,,,,,,,
11,11506,,WMB,570,WILLIAMS COS INC,,WILLIAMS COMPANIES INC,0,CAUCASIAN/WHITE,,,,,,,Alan Armstrong,Alan Armstrong,,,,,1,President/CEO,Executive Director,1/3/11,C,,,,,33512,443291
12,175319,204,HBI,624,HANESBRANDS INC,Hanesbrands,HANESBRANDS INC,0,CAUCASIAN/WHITE,1,,black,,Joia,Johnson,Gerald Evans Jr,Gerald Evans Jr,Joia Johnson,1,Female,TMT,1,CEO,Executive Director,10/1/16,8/3/20,1/11/07,91416,0,,882407,514830
13,5125,,GPC,258,GENUINE PARTS CO,,GENUINE PARTS CO,0,CAUCASIAN/WHITE,,,,,,,Paul Donahue,Paul Donahue,,,,,1,Chairman/CEO,Executive Director,4/22/19,C,,,,,13110,547628
14,5680,173,HD,281,HOME DEPOT INC,Home Depot,HOME DEPOT INC,0,CAUCASIAN/WHITE,1,,black,,Ann-Marie,Campbell,Craig Menear,Craig Menear,Ann-Marie Campbell,1,Female,TMT,1,Chairman/President/CEO,Executive Director,2/2/15,10/5/20,1/19/16,66181,0,,14982,536170
14,5680,184,HD,281,HOME DEPOT INC,Home Depot,HOME DEPOT INC,0,CAUCASIAN/WHITE,1,,black,,Marvin,Ellison,Craig Menear,Craig Menear,Marvin Ellison,0,Male,TMT,1,Chairman/President/CEO,Executive Director,2/2/15,10/5/20,8/25/08,66181,1,,14982,536170
