"1coid","tic.x","1conm_x","2Company","3CompanyName","gvkey","1ceo_minority","1ethnicity (from boardex)","ceo_name","2DirectorName","2First","2Last","3FirstName","3LastName","1ceo_race(black)","2BE","3RoleType","3RoleName","3Seniority","2020_Active","2020_Active_May26_Dec31","2020_CEO_Change","2020_2CEOs","2Female","2Gender","2AnnDate","2EndDate","3DateStartRole","3DateEndRole","X3num","X3CompanyID","X3DirectorID","2num","2permno","2Confounded","2Interim","obs","tic.y","conm_x","CrossVerified_ExecType","DirectorName","Ethnicity","Race(black)","BE_fromBermissData","Actual_Bermiss_discrepancy","Minority","Gender","Female","Num_Black_TMT","Active2020","CEO_Appointment_date_within_2020","DirectorName_source"
5,"WMT","WALMART INC","Wal-Mart Stores","WALMART INC (Wal-Mart Stores Inc prior to 02/2018)","11259",0,"CAUCASIAN/WHITE","Doug McMillon",NA,NA,NA,"Doug","McMillon",NA,0,"CEO","President/CEO","Executive Director",NA,1,NA,NA,0,"M","11/25/13",NA,"2/1/14",NA,506,33046,32097,93,55976,0,0,452,"WMT","WALMART INC","CEO","Doug McMillon","Caucasian/White",0,0,0,0,"M",0,0,"Yes",NA,"BoardEx"
45,"TROW","PRICE (T. ROWE) GROUP","T. Rowe Price Group","T ROWE PRICE GROUP INC","12138",0,"CAUCASIAN/WHITE","William Stromberg",NA,NA,NA,"William","Stromberg",NA,0,"CEO","Chairman/President/CEO","Executive Director",NA,1,NA,NA,0,"M","5/6/15",NA,"4/25/19","2/11/21",462,25020,489855,100,10138,1,0,354,"TROW","PRICE (T. ROWE) GROUP","CEO","Bill Stromberg","Caucasian/White",0,0,0,0,"M",0,0,"Yes",NA,"BoardEx"
45,"TROW","PRICE (T. ROWE) GROUP","T. Rowe Price Group","T ROWE PRICE GROUP INC","12138",0,"CAUCASIAN/WHITE","William Stromberg",NA,NA,NA,"William","Stromberg",NA,0,"CEO","Chairman/President/CEO","Executive Director",NA,1,NA,NA,0,"M","5/6/15",NA,"4/25/19","2/11/21",462,25020,489855,100,10138,1,0,355,"TROW","PRICE (T. ROWE) GROUP","CEO","William Stromberg","Caucasian/White",0,0,0,0,"M",0,0,"Yes",NA,"Bermiss"
61,"UPS","UNITED PARCEL SERVICE INC","United Parcel Service","UNITED PARCEL SERVICE (UPS) INC","10920",0,"CAUCASIAN/WHITE","David Abney","Michael Eskew","Michael","Eskew","David","Abney",NA,0,"CEO","Chairman/CEO","Executive Director",NA,1,NA,NA,0,"M","8/16/01",NA,"2/10/16","6/1/20",479,32137,41806,92,87447,0,0,431,"UPS","UNITED PARCEL SERVICE INC","CEO","Carol Tome","Caucasian/White",0,0,0,0,"F",1,0,"Yes","Started in 6/1/2020","manually added"
61,"UPS","UNITED PARCEL SERVICE INC","United Parcel Service","UNITED PARCEL SERVICE (UPS) INC","10920",0,"CAUCASIAN/WHITE","David Abney","Michael Eskew","Michael","Eskew","David","Abney",NA,0,"CEO","Chairman/CEO","Executive Director",NA,1,NA,NA,0,"M","8/16/01",NA,"2/10/16","6/1/20",479,32137,41806,92,87447,0,0,432,"UPS","UNITED PARCEL SERVICE INC","CEO","David Abney","Caucasian/White",0,0,0,0,"M",0,0,"Yes","Retired in 5/31/2020","BoardEx"
103,"MTD","METTLER-TOLEDO INTL INC","Mettler-Toledo International","METTLER TOLEDO INTERNATIONAL INC","65772",0,"CAUCASIAN/WHITE","Olivier Filliol",NA,NA,NA,"Olivier","Filliol",NA,0,"CEO","President/CEO","Executive Director",NA,1,NA,NA,0,"M","11/1/07",NA,"1/1/09","3/31/21",330,20478,205031,149,85621,0,0,293,"MTD","METTLER-TOLEDO INTL INC","CEO","Olivier Filliol","Caucasian/White",0,0,0,0,"M",0,0,"Yes",NA,"Bermiss"
175,"FITB","FIFTH THIRD BANCORP","Fifth Third Bancorp","FIFTH THIRD BANCORP","4640",0,"CAUCASIAN/WHITE","Greg Carmichael",NA,NA,NA,"Greg","Carmichael",NA,0,"CEO","Chairman/President/CEO","Executive Director",NA,1,NA,NA,0,"M","7/8/15",NA,"2/1/18","10/26/20",185,324,203638,63,34746,0,0,173,"FITB","FIFTH THIRD BANCORP","CEO","Greg Carmichael","Caucasian/White",0,0,0,0,"M",0,0,"Yes",NA,"Bermiss"
210,"SRE","SEMPRA ENERGY","Sempra Energy",NA,"8272",0,"CAUCASIAN/WHITE","Donald Felsinger",NA,NA,NA,"Donald","Felsinger",NA,0,"CEO",NA,NA,NA,NA,NA,NA,0,"M","12/7/05",NA,NA,NA,NA,NA,NA,84,86136,0,0,391,"SRE","SEMPRA ENERGY","CEO","Donald Felsinger","Caucasian/White",0,0,0,0,"M",0,0,"No",NA,"Bermiss"
305,"BBY","BEST BUY CO INC","Best Buy","BEST BUY CO INC","2184",0,"CAUCASIAN/WHITE","Corie Barry","Bradbury Anderson","Bradbury","Anderson","Corie","Barry",NA,0,"CEO","CEO","Executive Director",NA,1,NA,NA,0,"M","2/25/02",NA,"6/11/19",NA,50,4118,1713009,48,85914,0,0,55,"BBY","BEST BUY CO INC","CEO","Corie Barry","Caucasian/White",0,0,0,0,"F",1,0,"Yes",NA,"BoardEx"
307,"GIS","GENERAL MILLS INC","General Mills","GENERAL MILLS INC","5071",0,"CAUCASIAN/WHITE","Jeffrey Harmening",NA,NA,NA,"Jeffrey","Harmening",NA,0,"CEO","Chairman/CEO","Executive Director",NA,1,NA,NA,0,"M","5/3/17",NA,"1/1/18",NA,199,13034,988199,65,17144,0,0,189,"GIS","GENERAL MILLS INC","CEO","Jeff Harmening","Caucasian/White",0,0,0,0,"M",0,1,"Yes",NA,"BoardEx"
