coid,tic,conm_x,gvkey,ceo_name,ceo_ethnicity,ceo_race(black),ceo_minority,ceo_gender,ceo_female,2020_active,2020_active_may26_dec31,2020_two_ceos,2020_co-ceo,2020_ceo_change,2020_ceo_change_date,2020_in_or_out,ethnicity_boardex,BE_from_bermiss,Actual_Bermiss_discrepancy,RoleType_boardex,RoleName_boardex,Interim_boardex,DateStartRole_boardex,DateEndRole_boardex,,,,,
89,CINF,CINCINNATI FINANCIAL CORP,14824,Steve Johnston,Caucasian/White,0,0,M,0,0,0,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,President/CEO,0,5/2/11,5/2/20,,,,,
425,CLX,CLOROX CO/DE,3121,Benno Dorer,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,Chairman/CEO,0,8/15/16,9/14/20,,,,,
456,ED,CONSOLIDATED EDISON INC,3413,John McAvoy,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,Chairman/President/CEO,0,5/12/14,12/29/20,,,,,
489,DHR,DANAHER CORP,3735,Tom Joyce Jr,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,President/CEO,0,9/9/14,9/1/20,,,,,
143,DE,DEERE & CO,3835,John May,Caucasian/White,0,0,M,0,1,0,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,President/CEO,0,11/4/19,5/1/20,,,,,
43,DLTR,DOLLAR TREE INC,31587,Gary Philbin,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,CEO,0,12/9/19,7/20/20,,,,,
80,D,DOMINION ENERGY INC,4029,Tom Farrell II,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,Chairman/President/CEO,0,4/27/07,10/1/20,,,,,
175,FITB,FIFTH THIRD BANCORP,4640,Greg Carmichael,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,0,0,CEO,Chairman/President/CEO,0,2/1/18,10/26/20,,,,,
12,HBI,HANESBRANDS INC,175319,Gerald Evans Jr,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,1,0,CEO,CEO,0,10/1/16,8/3/20,,,,,
14,HD,HOME DEPOT INC,5680,Craig Menear,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,1,1,CEO,Chairman/President/CEO,0,2/2/15,10/5/20,,,,,
283,KEY,KEYCORP,9783,Beth Mooney,Caucasian/White,0,0,F,1,1,0,0,0,0,,,CAUCASIAN/WHITE,1,1,CEO,Chairman/President/CEO,0,5/1/11,5/1/20,,,,,
