coid,tic,1conm_x,2Company,3CompanyName,gvkey,1ceo_minority,1ethnicity (from boardex),ceo_name,2DirectorName,2First,2Last,3FirstName,3LastName,1ceo_race(black),2BE,3RoleType,3RoleName,3Seniority,2020_Active,2020_Active_May26_Dec31,2020_CEO_Change,2020_2CEOs,2Female,2Gender,2AnnDate,2EndDate,3DateStartRole,3DateEndRole,X3num,X3CompanyID,X3DirectorID,2num,2permno,2Confounded,2Interim
1,MHK,MOHAWK INDUSTRIES INC,NA,MOHAWK INDUSTRIES INC,25119,0,CAUCASIAN/WHITE,Jeff Lorberbaum,,,,Jeff,Lorberbaum,NA,NA,CEO,Chairman/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,11/4/09,NA,309,20964,64542,NA,NA,NA,NA
2,ODFL,OLD DOMINION FREIGHT,NA,OLD DOMINION FREIGHT LINE INC,24617,0,CAUCASIAN/WHITE,Greg Gantt,,,,Greg,Gantt,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,5/16/18,6/30/23,359,23040,896206,NA,NA,NA,NA
3,LOW,LOWE'S COS INC,Lowe's Companies,LOWE'S COS INC,6829,1,BLACK/AFRICAN AMERICAN,Marvin Ellison,,,,Marvin,Ellison,NA,1,CEO,President/CEO,Executive Director,,1,NA,NA,0,M,5/22/18,NA,7/2/18,6/1/21,285,19193,489833,72,61399,0,0
4,JBHT,HUNT (JB) TRANSPRT SVCS INC,NA,HUNT(J.B.)TRANSPORT SERVICES INC,5783,0,CAUCASIAN/WHITE,John Roberts III,,,,John,Roberts III,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,1/1/11,8/1/22,254,15223,497950,NA,NA,NA,NA
5,WMT,WALMART INC,Wal-Mart Stores,WALMART INC (Wal-Mart Stores Inc prior to 02/2018),11259,0,CAUCASIAN/WHITE,Doug McMillon,,,,Doug,McMillon,NA,0,CEO,President/CEO,Executive Director,,1,NA,NA,0,M,11/25/13,NA,2/1/14,NA,506,33046,32097,93,55976,0,0
6,LH,LABORATORY CP OF AMER HLDGS,NA,LABORATORY CORP OF AMERICA HLDGS (LABCORP),14960,0,CAUCASIAN/WHITE,Adam Schechter,,,,Adam,Schechter,NA,NA,CEO,President/CEO,Executive Director,1,0,NA,NA,NA,NA,NA,NA,11/1/19,5/13/20,277,18319,495421,NA,NA,NA,NA
7,TSN,TYSON FOODS INC -CL A,NA,TYSON FOODS INC,10793,0,CAUCASIAN/WHITE,Noel White,,,,Noel,White,NA,NA,CEO,CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,12/20/19,10/3/20,465,31563,453851,NA,NA,NA,NA
8,MKC,MCCORMICK & CO INC,NA,MCCORMICK & CO INC,7146,0,CAUCASIAN/WHITE,Lawrence Kurzius,,,,Lawrence,Kurzius,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,1/31/17,6/1/22,311,19939,481697,NA,NA,NA,NA
9,OKE,ONEOK INC,"ONEOK, Inc.",ONEOK INC (WAI Inc prior to 11/1997),8151,0,CAUCASIAN/WHITE,Terry Spencer,,,,Pierce,Norton II,NA,NA,CEO,President/CEO,Executive Director,,1,1,1,NA,NA,9/28/20,NA,1/31/14,6/28/21,361,23165,620137,82,NA,NA,NA
9,OKE,ONEOK INC,"ONEOK, Inc.",ONEOK INC (WAI Inc prior to 11/1997),8151,0,CAUCASIAN/WHITE,Terry Spencer,,,,Terry,Spencer,NA,NA,CEO,President/CEO,Executive Director,,1,1,1,NA,NA,1/31/14,9/28/20,1/31/14,6/28/21,361,23165,620137,83,NA,NA,NA
10,TWX,WarnerMedia,NA,NA,164296,0,CAUCASIAN/WHITE,NA,,,,NA,NA,NA,NA,CEO,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,WMB,WILLIAMS COS INC,NA,WILLIAMS COMPANIES INC,11506,0,CAUCASIAN/WHITE,Alan Armstrong,,,,Alan,Armstrong,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,1/3/11,NA,505,33512,443291,NA,NA,NA,NA
12,HBI,HANESBRANDS INC,NA,HANESBRANDS INC,175319,0,CAUCASIAN/WHITE,Gerald Evans Jr,,,,Gerald,Evans Jr,NA,NA,CEO,CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,10/1/16,8/3/20,212,882407,514830,NA,NA,NA,NA
