1+2num,CompanyID,1num,tic,1conm_x,3CompanyName,gvkey,1ceo_minority,1ethnicity (from boardex),1ceo_name,3DirectorName,3FirstName,3LastName,1ceo_race(black),3RoleType,3RoleName,3Seniority,2020_Active_May26_Dec31,3DateStartRole,3DateEndRole,2020_CEO_Change,2020_2CEOs,X3num,X3CompanyID,X3DirectorID
6,6,231,ABC,AMERISOURCEBERGEN CORP,NA,31673,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
8,8,220,ABT,ABBOTT LABORATORIES,NA,1078,1,HISPANIC/LATIN AMERICAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
17,17,16,AFL,AFLAC INC,NA,1449,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
18,18,448,AIG,AMERICAN INTERNATIONAL GROUP,NA,1487,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
23,23,27,ALB,ALBEMARLE CORP,NA,29751,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
33,33,431,AMT,AMERICAN TOWER CORP,NA,105365,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
47,47,281,AWK,AMERICAN WATER WORKS CO INC,NA,179437,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
50,50,378,BA,BOEING CO,NA,2285,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
56,56,181,BDX,BECTON DICKINSON & CO,NA,2111,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
57,57,411,BEN,FRANKLIN RESOURCES INC,NA,4885,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
67,67,137,BR,BROADRIDGE FINANCIAL SOLUTNS,NA,176928,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
75,75,168,CARR,CARRIER GLOBAL CORP,NA,36191,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
83,83,265,CE,CELANESE CORP,NA,162254,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
84,84,44,CEG,CONSTELLATION ENE CORP,NA,40614,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
95,95,266,CMA,COMERICA INC,NA,3231,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
