2num,2first,last,2Company,2AnnDate,gvkey,2permno,2ExecType,2BE,2Confounded,2Interim,2Female,2DirectorName,2Gender
1,John,Agwunobi,Herbalife Nutrition,10/29/19,14269,90516,CEO,1,0,0,0,John Agwunobi,M
2,Victor,Alston,Ixia,3/19/12,140759,88750,CEO,1,0,0,0,Victor Alston,M
3,Craig,Arnold,Eaton,8/24/05,4199,11762,CEO,1,0,0,0,Craig Arnold,M
4,James,Bell,Boeing Company,3/7/05,2285,19561,CEO,1,0,1,0,James Bell,M
5,Byron,Boston,Dynex Capital,12/12/13,14403,75269,CEO,1,0,0,0,Byron Boston,M
6,Ursula,Burns,Xerox,5/21/09,11636,27983,CEO,1,1,0,1,Ursula Burns,F
7,Ursula,Burns,Veon Ltd,12/13/18,63987,93337,CEO,1,0,0,1,Ursula Burns,F
8,Lloyd,Carney,Brocade Communications Systems,1/14/13,120774,86881,CEO,1,0,0,0,Lloyd Carney,M
9,Matthew,Carter,Inteliquent Inc,6/6/15,178767,92454,CEO,1,0,0,0,Matthew Carter,M
10,Anthony,Coles,NPS Pharmaceuticals,5/12/06,30255,80560,CEO,1,1,0,0,Anthony Coles,M
11,Leonard,Comma,Jack in the Box,8/7/13,13092,77453,CEO,1,0,0,0,Leonard Comma,M
12,Nathaniel,Davis,"K12, Inc",2/13/18,178976,92493,CEO,1,0,0,0,Nathaniel Davis,M
13,Steven,Davis,Bob Evans Farms,5/2/06,2282,18570,CEO,1,0,0,0,Steven Davis,M
14,Ken,Denman,Openwave Systems,11/6/08,121257,86990,CEO,1,0,0,0,Ken Denman,M
15,Arnold,Donald,Carnival & plc,6/24/13,13498,89728,CEO,1,0,0,0,Arnold Donald,M
16,Marvin,Ellison,J.C. Penney,10/13/14,8446,18403,CEO,1,0,0,0,Marvin Ellison,M
17,Marvin,Ellison,Lowe's Companies,5/22/18,6829,61399,CEO,1,0,0,0,Marvin Ellison,M
18,Michael,Fields,Kana Software,8/26/05,123998,87241,CEO,1,0,0,0,Michael Fields,M
19,Kenneth,Frazier,Merck,11/30/10,7257,22752,CEO,1,0,0,0,Kenneth Frazier,M
20,William,Freeman,Arbinet-thexchange,11/19/07,160867,90469,CEO,1,0,0,0,William Freeman,M
21,James,Gavin,MicroIslet Inc,6/9/06,141196,90212,CEO,1,0,0,0,James Gavin,M
22,James,Gavin,MicroIslet Inc,1/19/06,141196,90212,CEO,1,0,1,0,James Gavin,M
23,Joel,Gay,Energy Recovery,4/24/15,179738,92753,CEO,1,0,0,0,Joel Gay,M
24,Kim,Goodman,Worldpay,9/28/16,194956,13314,CEO,1,0,0,1,Kim Goodman,F
25,Leslie,Hale,RLJ Lodging Trust,4/10/18,186363,12756,CEO,1,1,1,1,Leslie Hale,F
26,Brett,Hart,United Airlines,10/19/15,10795,91103,CEO,1,0,1,0,Brett Hart,M
27,Richard,Holder,"NN, Inc.",5/10/13,29894,80343,CEO,1,0,0,0,Richard Holder,M
28,Rene,Jones,M&T Bank,12/20/17,4699,35554,CEO,1,1,0,0,Rene Jones,M
29,Eric,Kelly,Overland Storage Inc,1/28/09,64408,84555,CEO,1,0,0,0,Eric Kelly,M
30,Theo,Killion,Zale Corporation,9/23/10,11669,79672,CEO,1,0,0,0,Theo Killion,M
31,Theo,Killion,Zale Corporation,1/13/10,11669,79672,CEO,1,0,1,0,Theo Killion,M
32,Kase,Lawal,CAMAC Energy Inc,4/12/11,178878,93106,CEO,1,1,0,0,Kase Lawal,M
33,Aylwin,Lewis,Kmart Holding Corp,10/18/04,6307,89757,CEO,1,0,0,0,Aylwin Lewis,M
34,Aylwin,Lewis,Sears Holdings Corporation,9/8/05,6307,89757,CEO,1,0,0,0,Aylwin Lewis,M
35,Fran_ois,Locoh-Donou,F5 Networks,1/31/17,121077,86964,CEO,1,0,0,0,Fran_ois Locoh-Donou,M
36,Shaun,McAlmont,Lincoln Educational Services Corporation,1/21/09,163668,90735,CEO,1,1,0,0,Shaun McAlmont,M
37,Ronald,McCray,Career Education Corporation,2/12/15,66379,85724,CEO,1,0,1,0,Ronald McCray,M
38,Gary,McCullough,Career Education,3/7/07,66379,85724,CEO,1,0,0,0,Gary McCullough,M
39,Stanley,O'Neal,Merrill Lynch,7/22/02,7267,52919,CEO,1,1,0,0,Stanley O¡¯Neal,M
40,William,Osborne,Federal Signal Corporation,9/15/08,4608,47706,CEO,1,0,0,0,William Osborne,M
41,Clarence,Otis,Darden Restaurants,8/12/04,31846,81655,CEO,1,1,0,0,Clarence Otis,M
42,Sam,Owusu-Akyaw,Osteotech,11/23/05,24198,76710,CEO,1,0,0,0,Sam Owusu-Akyaw,M
43,Richard,Parsons,Time Warner,12/5/01,120359,86926,CEO,1,1,0,0,Richard Parsons,M
44,Gregory,Pratt,Carpenter Technology Corporation,11/14/14,2787,20618,CEO,1,0,0,0,Gregory Pratt,M
45,Gregory,Pratt,Carpenter Technology Corporation,10/12/09,2787,20618,CEO,1,0,1,0,Gregory Pratt,M
46,Michael,Pugh,Carver Bancorp,11/17/14,30857,80960,CEO,1,0,0,0,Michael Pugh,M
47,Derica,Rice,Eli Lilly and Co.,5/6/13,6730,50876,CEO,1,1,1,0,Derica Rice,M
48,James,Sweetnam,Dana Holding Corporation,5/27/09,3734,92570,CEO,1,0,0,0,James Sweetnam,M
49,Tidjane,Thiam,Credit Suisse Group,3/9/15,28838,89154,CEO,1,0,0,0,Tidjane Thiam,M
50,Donald,Thompson,McDonald¡¯s,1/11/10,7154,43449,CEO,1,1,0,0,Donald Thompson,M
51,Lisa,Wardell,DeVry Education Group,5/24/16,3905,76708,CEO,1,1,0,1,Lisa Wardell,F
52,Gene,Warren,ACT Teleconferencing,12/17/03,62649,83347,CEO,1,0,0,0,Gene Warren,M
53,James,White,Jamba Juice,11/18/08,164255,90795,CEO,1,1,0,0,James White,M
54,Ronald,Williams,Aetna,1/4/06,1177,88845,CEO,1,1,0,0,Ronald Williams,M
55,Mary,Winston,Bed Bath & Beyond,5/13/19,25338,77659,CEO,1,0,1,1,Mary Winston,F
56,RL,Wood,Crompton,1/12/04,3607,38420,CEO,1,0,0,0,RL Wood,M
57,Jide,Zeitlin,Tapestry Inc,9/4/19,140541,88661,CEO,1,1,0,0,Jide Zeitlin,M
58,Keith,Alessi,Westmoreland Coal Company,5/2/07,11440,59467,CEO,0,1,1,0,Keith Alessi,M
59,Keith,Alessi,Westmoreland Coal Company,1/27/09,11440,59467,CEO,0,0,0,0,Keith Alessi,M
