2num,2first,last,2Company,2AnnDate,gvkey,2permno,2ExecType,2BE,2Confounded,2Interim,2Female,2DirectorName,2Gender
45,Ronald,Williams,Aetna,1/4/06,1177,88845,CEO,1,1,0,0,Ronald Williams,M
46,Kenneth,Chenault,American Express,4/27/99,1447,59176,CEO,1,1,0,0,Kenneth Chenault,M
47,Francis,Scricco,Arrow Electronics,5/10/00,1773,29209,CEO,0,0,0,0,Francis Scricco,M
48,Bradbury,Anderson,Best Buy,2/25/02,2184,85914,CEO,0,0,0,0,Bradbury Anderson,M
49,Steven,Davis,Bob Evans Farms,5/2/06,2282,18570,CEO,1,0,0,0,Steven Davis,M
50,James,Bell,Boeing Company,3/7/05,2285,19561,CEO,1,0,1,0,James Bell,M
51,Joseph,McGrath,Unisys Corporation,10/22/04,2504,10890,CEO,0,0,0,0,Joseph McGrath,M
52,Scott,Freidheim,CDI Corporation,8/13/14,2538,45655,CEO,0,0,0,0,Scott Freidheim,M
53,Gregory,Pratt,Carpenter Technology Corporation,11/14/14,2787,20618,CEO,1,0,0,0,Gregory Pratt,M
54,Darren,Rebelez,Casey's General Stores,6/5/19,2807,21742,CEO,0,0,0,0,Darren Rebelez,M
55,Max,Mitchell,Crane Co.,4/22/13,3580,20204,CEO,0,0,0,0,Max Mitchell,M
56,RL,Wood,Crompton,1/12/04,3607,38420,CEO,1,0,0,0,RL Wood,M
57,James,Sweetnam,Dana Holding Corporation,5/27/09,3734,92570,CEO,1,0,0,0,James Sweetnam,M
58,Lisa,Wardell,Adtalem Global Education,5/24/16,3905,76708,CEO,1,,,1,Lisa Wardell,F
59,Clifford,Alexander,Dun & Bradstreet,10/26/99,4094,48506,CEO,1,1,1,0,Clifford Alexander,M
60,Craig,Arnold,Eaton,8/24/05,4199,11762,CEO,1,0,0,0,Craig Arnold,M
61,Nicholas,Konidaris,Electro Scienti_c Industries,1/7/04,4274,32054,CEO,0,0,0,0,Nicholas Konidaris,M
62,William,Osborne,Federal Signal Corporation,9/15/08,4608,47706,CEO,1,0,0,0,William Osborne,M
63,Greg,Carmichael,Fifth Third Bancorp,7/8/15,4640,34746,CEO,0,0,0,0,Greg Carmichael,M
64,Rene,Jones,M&T Bank,12/20/17,4699,35554,CEO,1,1,0,0,Rene Jones,M
65,Jeffrey,Harmening,General Mills,5/3/17,5071,17144,CEO,0,0,0,0,Jeffrey Harmening,M
66,Emma,Walmsley,GlaxoSmithKline,9/20/16,5180,75064,CEO,0,0,0,1,Emma Walmsley,F
67,Daniel,Thoren,Graham Corporation,8/10/21,5254,60468,CEO,0,0,0,0,Daniel Thoren,M
68,Michael,Lamach,Ingersoll-Rand PLC,2/4/10,5959,12431,CEO,0,0,0,0,Michael Lamach,M
69,Brian,Driscoll,Snyder's-Lance,4/17/17,6574,48531,CEO,0,1,1,0,Brian Driscoll,M
70,Joseph,Sullivan,Legg Mason,2/8/13,6653,65330,CEO,0,0,0,0,Joseph Sullivan,M
71,Derica,Rice,Eli Lilly and Co.,5/6/13,6730,50876,CEO,1,1,1,0,Derica Rice,M
72,Marvin,Ellison,Lowe's Companies,5/22/18,6829,61399,CEO,1,0,0,0,Marvin Ellison,M
73,Dean,Klisura,Marsh & McLennan,11/18/21,7065,45751,CEO,0,0,0,0,Dean Klisura,M
74,Lloyd,Ward,Maytag,5/13/99,7139,13119,CEO,1,1,0,0,Lloyd Ward,M
75,David,Dickson,Mcdermott International,10/17/13,7152,64629,CEO,0,1,0,0,David Dickson,M
76,Donald,Thompson,McDonald's,1/11/10,7154,43449,CEO,1,1,0,0,Donald Thompson,M
77,Kenneth,Frazier,Merck,11/30/10,7257,22752,CEO,1,0,0,0,Kenneth Frazier,M
78,Stanley,O'Neal,Merrill Lynch,7/22/02,7267,52919,CEO,1,1,0,0,Stanley O'Neal,M
79,Andrea,Owen,Herman Miller,8/15/18,7401,54114,CEO,0,0,0,1,Andrea Owen,F
80,Steven,Cosse,Murphy Oil Corporation,6/20/12,7620,28345,CEO,0,0,0,0,Steven Cosse,M
81,Lloyd,Yates,NiSource,1/28/22,7974,38762,CEO,1,1,0,0,Lloyd Yates,M
82,Pierce,Norton II,"ONEOK, Inc.",9/28/20,8151,,CEO,,,,,,
83,Terry,Spencer,"ONEOK, Inc.",1/31/14,8151,,CEO,,,,,,
84,Donald,Felsinger,Sempra Energy,12/7/05,8272,86136,CEO,0,0,0,0,Donald Felsinger,M
85,Marvin,Ellison,J.C. Penney,10/13/14,8446,18403,CEO,1,0,0,0,Marvin Ellison,M
86,Michael,Barry,Quaker Chemical Corporpation,5/7/08,8850,64929,CEO,0,1,0,0,Michael Barry,M
