obs,tic,gvkey,conm_x,CrossVerified_ExecType,DirectorName,Ethnicity,Race(black),BE_fromBermissData,Actual_Bermiss_discrepancy,Minority,Gender,Female,Num_Black_TMT,Active2020,CEO_Appointment_date_within_2020,DirectorName_source
1,MMM,7435,3M CO,CEO,Mike Roman,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
2,ABBV,16101,ABBVIE INC,CEO,Rick Gonzalez,Hispanic/Latino,0,,0,1,M,0,0,Yes,,BoardEx
3,ABMD,13619,ABIOMED INC,CEO,Mike Minogue,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
4,ATVI,180405,ACTIVISION BLIZZARD INC,CEO,Bobby Kotick,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
5,ADBE,12540,ADOBE INC,CEO,Shantanu Narayen,Asian/Indian,0,,0,1,M,0,0,Yes,,BoardEx
6,AAP,145977,ADVANCE AUTO PARTS INC,CEO,Tom Greco,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
7,AMD,1161,ADVANCED MICRO DEVICES,CEO,Doctor Lisa Su,Asian,0,,0,1,F,1,0,Yes,,BoardEx
8,AES,24216,AES CORP (THE),CEO,Doctor Andres Gluski Weilert,Hispanic/Latino,0,,0,1,M,0,0,Yes,,BoardEx
9,A,126554,AGILENT TECHNOLOGIES INC,CEO,Mike McMullen,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
10,APD,1209,AIR PRODUCTS & CHEMICALS INC,CEO,Seifi Ghasemi,Middle Eastern/Iranian,0,,0,1,M,0,0,Yes,,BoardEx
11,AKAM,125595,AKAMAI TECHNOLOGIES INC,CEO,Doctor Tom Leighton,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
12,ALK,1230,ALASKA AIR GROUP INC,CEO,Brad Tilden,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
13,ARE,64821,ALEXANDRIA R E EQUITIES INC,CEO,Jean-Louis Servranckx,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
14,ALXN,62263,ALEXION PHARMACEUTICALS INC,CEO,Doctor Ludwig Hantson,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
15,ALGN,141384,ALIGN TECHNOLOGY INC,CEO,Joe Hogan,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
16,LNT,11554,ALLIANT ENERGY CORP,CEO,John Larsen,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
17,ALL,28349,ALLSTATE CORP,CEO,Tom Wilson II,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
18,GOOGL,160329,ALPHABET INC,CEO,Sundar Pichai,Asian/Indian,0,,0,1,M,0,1,Yes,,BoardEx
19,GOOG,,ALPHABET INC.,CEO,Sundar Pichai,Asian/Indian,0,,0,1,M,0,1,Yes,,BoardEx
20,AMZN,64768,AMAZON.COM INC,CEO,Jeff Bezos,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
21,AEE,10860,AMEREN CORP,CEO,Warner Baxter,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
22,AAL,1045,AMERICAN AIRLINES GROUP INC,CEO,Doug Parker Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
23,AEP,1440,AMERICAN ELECTRIC POWER CO,CEO,Nick Akins,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
24,AXP,1447,AMERICAN EXPRESS CO,CEO,Steve Squeri,Caucasian/White,0,1,1,0,M,0,2,Yes,,BoardEx
25,AMP,164708,AMERIPRISE FINANCIAL INC,CEO,Jim Cracchiolo,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
26,AME,1598,AMETEK INC,CEO,David Zapico,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
27,AMGN,1602,AMGEN INC,CEO,Bob Bradway,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
28,APH,14282,AMPHENOL CORP,CEO,Richard Norwitt,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
29,ADI,1632,ANALOG DEVICES INC,CEO,Vincent Roche,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
30,ANSS,63080,ANSYS INC,CEO,Doctor Ajei Gopal,Asian/Indian,0,,0,1,M,0,0,Yes,,BoardEx
31,APA,1678,APA CORP,CEO,John Christmann IV,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
32,AIV,30490,APARTMENT INVST & MGMT CO,CEO,The Hon. Terry Considine,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
33,AAPL,1690,APPLE INC,CEO,Tim Cook,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
34,AMAT,1704,APPLIED MATERIALS INC,CEO,Gary Dickerson,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
35,ADM,1722,ARCHER-DANIELS-MIDLAND CO,CEO,Juan Luciano,Hispanic/Latino,0,,0,1,M,0,0,Yes,,BoardEx
36,ANET,20748,ARISTA NETWORKS INC,CEO,Jayshree Ullal,Asian/Indian,0,,0,1,F,1,0,Yes,,BoardEx
37,AJG,4973,ARTHUR J GALLAGHER & CO,CEO,Pat Gallagher Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
38,AIZ,157057,ASSURANT INC,CEO,Alan Colberg,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
39,T,9899,AT&T INC,CEO,John Stankey,Caucasian/White,0,1,1,0,M,0,2,Yes,Started in 7/1/2020,BoardEx
40,T,9899,AT&T INC,CEO,Randall Stephenson Jr,Caucasian/White,0,1,1,0,M,0,2,Yes,Retired in 6/30/2020,BoardEx
41,ATO,4383,ATMOS ENERGY CORP,CEO,John Akers,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
