obs,coid,tic,conm_x,gvkey,ceo_name,ceo_race(black)_manual check,ceo_ethnicity_manual check,,ceo_minority,ceo_gender,ceo_female,ceo_active_2020_may26_dec31,firm_multiple_ceos_may26_dec31,firm_coceo_2020,firm_ceo_change_2020_may26_dec31,firm_ceo_change_date_2020,ceo_in_or_out_2020,DateStartRole_boardex,DateEndRole_boardex,Actual_Bermiss_discrepancy,RoleName_boardex,Interim_boardex,ethnicity_boardex (for comparison with ceo_ethnicity column)
1,1,MHK,MOHAWK INDUSTRIES INC,25119,Jeff Lorberbaum,0,Caucasian/White,,0,M,0,1,0,0,0,,,11/4/09,,0,Chairman/CEO,0,CAUCASIAN/WHITE
2,2,ODFL,OLD DOMINION FREIGHT,24617,Greg Gantt,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/16/18,6/30/23,0,President/CEO,0,CAUCASIAN/WHITE
3,3,LOW,LOWE'S COS INC,6829,Marvin Ellison,1,African American/Black,,1,M,0,1,0,0,0,,,7/2/18,6/1/21,0,President/CEO,0,BLACK/AFRICAN AMERICAN
4,4,JBHT,HUNT (JB) TRANSPRT SVCS INC,5783,John Roberts III,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/11,8/1/22,0,President/CEO,0,CAUCASIAN/WHITE
5,5,WMT,WALMART INC,11259,Doug McMillon,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/1/14,,0,President/CEO,0,CAUCASIAN/WHITE
6,6,LH,LABORATORY CP OF AMER HLDGS,14960,Adam Schechter,0,Caucasian/White,,0,M,0,1,0,0,0,,,11/1/19,,0,President/CEO,0,CAUCASIAN/WHITE
7,7,TSN,TYSON FOODS INC -CL A,10793,Noel White,0,Caucasian/White,,0,M,0,1,0,0,0,,,12/20/19,10/3/20,0,CEO,0,CAUCASIAN/WHITE
8,8,MKC,MCCORMICK & CO INC,7146,Lawrence Kurzius,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/31/17,6/1/22,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
9,9,OKE,ONEOK INC,8151,Terry Spencer,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/31/14,6/28/21,0,President/CEO,0,CAUCASIAN/WHITE
10,10,TWX,WarnerMedia,164296,Jason Kilar,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/1/20,4/8/22,0,,0,CAUCASIAN/WHITE
11,11,WMB,WILLIAMS COS INC,11506,Alan Armstrong,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/3/11,,0,President/CEO,0,CAUCASIAN/WHITE
12,12,HBI,HANESBRANDS INC,175319,Gerald Evans Jr,0,Caucasian/White,,0,M,0,1,0,0,0,,,10/1/16,8/3/20,0,CEO,0,CAUCASIAN/WHITE
13,13,GPC,GENUINE PARTS CO,5125,Paul Donahue,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/22/19,,0,Chairman/CEO,0,CAUCASIAN/WHITE
14,14,HD,HOME DEPOT INC,5680,Craig Menear,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/2/15,10/5/20,1,Chairman/President/CEO,0,CAUCASIAN/WHITE
15,15,QRVO,QORVO INC,64853,Bob Bruggeworth,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/2/15,,0,President/CEO,0,CAUCASIAN/WHITE
16,16,AFL,AFLAC INC,1449,Daniel P. Amos,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/12/05,,0,,0,
17,17,AAP,ADVANCE AUTO PARTS INC,145977,Tom Greco,0,Caucasian/White,,0,M,0,1,0,0,0,,,8/14/16,9/11/23,0,President/CEO,0,CAUCASIAN/WHITE
18,18,MLM,MARTIN MARIETTA MATERIALS,29733,Ward Nye,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/22/14,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
19,19,RHT,RED HAT INC,122841,Paul Cormier,0,Caucasian/White,,0,F,1,1,0,0,0,,,4/1/20,7/1/22,0,President/CEO,0,CAUCASIAN/WHITE
20,20,FRT,FEDERAL REALTY INVESTMENT TR,4605,Don Wood,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/03,3/11/21,0,President/CEO,0,CAUCASIAN/WHITE
21,21,HST,HOST HOTELS & RESORTS INC,7063,Jim Risoleo,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/17,,0,President/CEO,0,CAUCASIAN/WHITE
22,22,LMT,LOCKHEED MARTIN CORP,6774,"Marillyn Hewson, James D. Taiclet",0,Caucasian/White,,0,M,1,1,1,0,1,6/15/20,incoming,,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
23,23,MAR,MARRIOTT INTL INC,28930,Arne Sorenson,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/31/12,2/15/21,0,President/CEO,0,CAUCASIAN/WHITE
24,24,DVN,DEVON ENERGY CORP,14934,Dave Hager,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/8/16,1/7/21,0,President/CEO,0,CAUCASIAN/WHITE
25,25,PAYC,PAYCOM SOFTWARE INC,20116,Chad Richison,0,Caucasian/White,,0,M,0,1,0,0,0,,,8/1/16,2/7/24,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
