"coid","tic","conm_x","gvkey","ceo_name","0first","last","ceo_ethnicity","ceo_race(black)","ceo_minority","ceo_gender","ceo_female","2020_active","2020_active_may26_dec31","2020_two_ceos","2020_co-ceo","2020_ceo_change","2020_ceo_change_date","2020_in_or_out","ethnicity_boardex","BE_from_bermiss","Actual_Bermiss_discrepancy","RoleType_boardex","RoleName_boardex","Interim_boardex","DateStartRole_boardex","DateEndRole_boardex","2BE","2first"
1,"MHK","MOHAWK INDUSTRIES INC",25119,"Jeff Lorberbaum","Jeff","Lorberbaum","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"11/4/09",NA,NA,NA
2,"ODFL","OLD DOMINION FREIGHT",24617,"Greg Gantt","Greg","Gantt","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"5/16/18","6/30/23",NA,NA
3,"LOW","LOWE'S COS INC",6829,"Marvin Ellison","Marvin","Ellison","African American/Black",1,1,"M",0,1,1,0,0,0,NA,NA,"BLACK/AFRICAN AMERICAN",NA,0,"CEO","President/CEO",0,"7/2/18","6/1/21",1,"Marvin"
4,"JBHT","HUNT (JB) TRANSPRT SVCS INC",5783,"John Roberts III","John","Roberts","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"1/1/11","8/1/22",NA,NA
5,"WMT","WALMART INC",11259,"Doug McMillon","Doug","McMillon","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",0,0,"CEO","President/CEO",0,"2/1/14",NA,0,"C. Douglas"
6,"LH","LABORATORY CP OF AMER HLDGS",14960,"Adam Schechter","Adam","Schechter","Caucasian/White",0,0,"M",0,0,0,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"11/1/19","5/13/20",NA,NA
7,"TSN","TYSON FOODS INC -CL A",10793,"Noel White","Noel","White","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"12/20/19","10/3/20",1,"James"
8,"MKC","MCCORMICK & CO INC",7146,"Lawrence Kurzius","Lawrence","Kurzius","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"1/31/17","6/1/22",NA,NA
9,"OKE","ONEOK INC",8151,"Terry Spencer","Terry","Spencer","Caucasian/White",0,0,"M",0,1,1,1,0,0,NA,NA,"CAUCASIAN/WHITE",0,0,"CEO","President/CEO",0,"1/31/14","6/28/21",NA,"Terry"
10,"TWX","WarnerMedia",164296,"Jason Kilar","Jason","Kilar","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"5/1/20","4/8/22",NA,NA
11,"WMB","WILLIAMS COS INC",11506,"Alan Armstrong","Alan","Armstrong","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"1/3/11",NA,NA,NA
12,"HBI","HANESBRANDS INC",175319,"Gerald Evans Jr","Gerald","Evans Jr","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",1,0,"CEO","CEO",0,"10/1/16","8/3/20",NA,NA
13,"GPC","GENUINE PARTS CO",5125,"Paul Donahue","Paul","Donahue","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"4/22/19",NA,NA,NA
14,"HD","HOME DEPOT INC",5680,"Craig Menear","Craig","Menear","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",1,1,"CEO","Chairman/President/CEO",0,"2/2/15","10/5/20",NA,NA
15,"QRVO","QORVO INC",64853,"Bob Bruggeworth","Bob","Bruggeworth","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"1/2/15",NA,NA,NA
16,"AFL","AFLAC INC",1449,"Daniel P. Amos","Daniel","Amos","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,NA,NA,0,"CEO",NA,0,"6/12/05",NA,NA,NA
17,"AAP","ADVANCE AUTO PARTS INC",145977,"Tom Greco","Tom","Greco","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"8/14/16","9/11/23",NA,NA
18,"MLM","MARTIN MARIETTA MATERIALS",29733,"Ward Nye","Ward","Nye","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"5/22/14",NA,NA,NA
19,"RHT","RED HAT INC",122841,"Paul Cormier","Paul","Cormier","Caucasian/White",0,0,"F",1,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"4/1/20","7/1/22",NA,NA
20,"FRT","FEDERAL REALTY INVESTMENT TR",4605,"Don Wood","Don","Wood","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"1/1/03","3/11/21",1,"RL"
21,"HST","HOST HOTELS & RESORTS INC",7063,"Jim Risoleo","Jim","Risoleo","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"1/1/17",NA,NA,NA
22,"LMT","LOCKHEED MARTIN CORP",6774,"Marillyn Hewson","Marillyn","Hewson","Caucasian/White",0,0,"F",1,1,1,1,0,1,"6/15/20","outgoing",NA,NA,0,"CEO","President/CEO",0,NA,NA,NA,NA
22,"LMT","LOCKHEED MARTIN CORP",6774,"James D. Taiclet","James","Taiclet","Caucasian/White",0,0,"M",1,1,1,1,0,1,"6/15/20","incoming","CAUCASIAN/WHITE",1,0,"CEO","Chairman/President/CEO",0,"1/1/14","6/15/20",NA,NA
23,"MAR","MARRIOTT INTL INC",28930,"Arne Sorenson","Arne","Sorenson","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"3/31/12","2/15/21",NA,NA
24,"DVN","DEVON ENERGY CORP",14934,"Dave Hager","Dave","Hager","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"6/8/16","1/7/21",NA,NA
25,"PAYC","PAYCOM SOFTWARE INC",20116,"Chad Richison","Chad","Richison","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"8/1/16","2/7/24",NA,NA
26,"EMN","EASTMAN CHEMICAL CO",29392,"Mark Costa","Mark","Costa","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chair/CEO",0,"6/30/14",NA,NA,NA
27,"ALB","ALBEMARLE CORP",29751,"J. Kent Masters","J.","Masters","Caucasian/White",0,0,"M",0,1,1,0,0,1,"20-Jun","incoming","CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"6/17/20",NA,NA,NA
27,"ALB","ALBEMARLE CORP",29751,"Luther C. Kissam IV","Luther","Kissam","Caucasian/White",0,0,"M",0,1,1,0,0,1,"20-Jun","outgoing",NA,NA,0,"CEO",NA,0,"7/3/05","6/17/20",NA,NA
28,"BAC","BANK OF AMERICA CORP",7647,"Brian Moynihan","Brian","Moynihan","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chair/President/CEO",0,"10/1/14",NA,NA,NA
29,"DUK","DUKE ENERGY CORP",4093,"Lynn Good","Lynn","Good","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"1/1/16",NA,NA,NA
30,"HON","HONEYWELL INTERNATIONAL INC",1300,"Darius Adamczyk","Darius","Adamczyk","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"4/23/18","6/1/23",NA,NA
31,"IR","INGERSOLL RAND INC",30098,"Vicente Reynal","Vicente","Reynal","Hispanic/Latino",0,1,"M",0,1,1,0,0,0,NA,NA,NA,NA,0,"CEO","President/CEO",0,"5/12/17","11/9/21",NA,NA
