obs,tic,conm_x,gvkey,CrossVerified_ExecType,DirectorName,Ethnicity,Race(black),BE_fromBermissData,ceo_black_discrepancy,Minority,Gender,Female,Num_Black_TMT,TMT_Active_in_2020 (Manual Check),BlackCEO_Appointment_date (within the timeframe),DirectorName_source
180,MMM,3M CO,7435,CEO,Mike Roman,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
596,ABBV,ABBVIE INC,16101,CEO,Rick Gonzalez,Hispanic/Latino,0,,0,1,M,0,0,Yes,,3BoardEx
181,ABMD,ABIOMED INC,13619,CEO,Mike Minogue,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
182,ATVI,ACTIVISION BLIZZARD INC,180405,CEO,Bobby Kotick,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
79,ADBE,ADOBE INC,12540,CEO,Shantanu Narayen,Asian/Indian,0,,0,1,M,0,0,Yes,,3BoardEx
183,AAP,ADVANCE AUTO PARTS INC,145977,CEO,Tom Greco,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
72,AMD,ADVANCED MICRO DEVICES,1161,CEO,Doctor Lisa Su,Asian,0,,0,1,F,1,0,Yes,,3BoardEx
597,AES,AES CORP (THE),24216,CEO,Doctor Andres Gluski Weilert,Hispanic/Latino,0,,0,1,M,0,0,Yes,,3BoardEx
1,AFL,AFLAC INC,1449,TMT,Audrey Boone Tillman,African American/Black,1,1,0,1,F,1,2,Yes,,2Bermiss
2,AFL,AFLAC INC,1449,TMT,Teresa White,African American/Black,1,1,0,1,F,1,2,Yes,,2Bermiss
184,A,AGILENT TECHNOLOGIES INC,126554,CEO,Mike McMullen,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
616,APD,AIR PRODUCTS & CHEMICALS INC,1209,CEO,Seifi Ghasemi,Middle Eastern/Iranian,0,,0,1,M,0,0,Yes,,3BoardEx
185,AKAM,AKAMAI TECHNOLOGIES INC,125595,CEO,Doctor Tom Leighton,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
186,ALK,ALASKA AIR GROUP INC,1230,CEO,Brad Tilden,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
187,ARE,ALEXANDRIA R E EQUITIES INC,64821,CEO,Jean-Louis Servranckx,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
188,ARE,ALEXANDRIA R E EQUITIES INC,64821,TMT,Joel Marcus,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
189,ALXN,ALEXION PHARMACEUTICALS INC,62263,CEO,Doctor Ludwig Hantson,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
190,ALGN,ALIGN TECHNOLOGY INC,141384,CEO,Joe Hogan,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
191,LNT,ALLIANT ENERGY CORP,11554,CEO,John Larsen,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
192,ALL,ALLSTATE CORP,28349,CEO,Tom Wilson II,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
