num,tic,conm_x,gvkey,ceo_minority,ethnicity (from boardex),ceo_name,ceo_race(black),First,Last,Company,AnnDate,BE
1,MHK,MOHAWK INDUSTRIES INC,25119,0,CAUCASIAN/WHITE,,,,,,,
2,ODFL,OLD DOMINION FREIGHT,24617,0,CAUCASIAN/WHITE,,,,,,,
3,LOW,LOWE'S COS INC,6829,1,BLACK/AFRICAN AMERICAN,,,Marvin,Ellison,Lowe¡¯s Companies,5/22/18,1
4,JBHT,HUNT (JB) TRANSPRT SVCS INC,5783,0,CAUCASIAN/WHITE,,,,,,,
5,WMT,WALMART INC,11259,0,CAUCASIAN/WHITE,,,C. Douglas,McMillon,Wal-Mart Stores,11/25/13,0
6,LH,LABORATORY CP OF AMER HLDGS,14960,0,CAUCASIAN/WHITE,,,,,,,
7,TSN,TYSON FOODS INC -CL A,10793,0,CAUCASIAN/WHITE,,,,,,,
8,MKC,MCCORMICK & CO INC,7146,0,CAUCASIAN/WHITE,,,,,,,
9,OKE,ONEOK INC,8151,0,CAUCASIAN/WHITE,,,John,Gibson,"ONEOK, Inc.",11/16/06,0
9,OKE,ONEOK INC,8151,0,CAUCASIAN/WHITE,,,David,Kyle,Oneok Inc,8/29/00,0
10,TWX,WarnerMedia,164296,0,CAUCASIAN/WHITE,,,,,,,
11,WMB,WILLIAMS COS INC,11506,0,CAUCASIAN/WHITE,,,,,,,
12,HBI,HANESBRANDS INC,175319,0,CAUCASIAN/WHITE,,,Joia,Johnson,Hanesbrands,1/11/07,1
13,GPC,GENUINE PARTS CO,5125,0,CAUCASIAN/WHITE,,,,,,,
14,HD,HOME DEPOT INC,5680,0,CAUCASIAN/WHITE,,,Ann-Marie,Campbell,Home Depot,1/19/16,1
14,HD,HOME DEPOT INC,5680,0,CAUCASIAN/WHITE,,,Marvin,Ellison,Home Depot,8/25/08,1
14,HD,HOME DEPOT INC,5680,0,CAUCASIAN/WHITE,,,Teresa,Wynn Roseborough,Home Depot,10/7/11,1
15,QRVO,QORVO INC,64853,0,CAUCASIAN/WHITE,,,,,,,
16,AFL,AFLAC INC,1449,0,CAUCASIAN/WHITE,,,Audrey,Boone Tillman,A_ac,5/5/14,1
16,AFL,AFLAC INC,1449,0,CAUCASIAN/WHITE,,,Teresa,White,A_ac,9/29/14,1
17,AAP,ADVANCE AUTO PARTS INC,145977,0,CAUCASIAN/WHITE,,,,,,,
18,MLM,MARTIN MARIETTA MATERIALS,29733,0,CAUCASIAN/WHITE,,,,,,,
19,RHT,RED HAT INC,122841,0,,,,,,,,
20,FRT,FEDERAL REALTY INVESTMENT TR,4605,0,CAUCASIAN/WHITE,,,,,,,
21,HST,HOST HOTELS & RESORTS INC,7063,0,CAUCASIAN/WHITE,,,,,,,
22,LMT,LOCKHEED MARTIN CORP,6774,0,CAUCASIAN/WHITE,,,Linda,Gooden,Lockheed Martin,12/7/06,1
23,MAR,MARRIOTT INTL INC,28930,0,CAUCASIAN/WHITE,,,,,,,
24,DVN,DEVON ENERGY CORP,14934,0,CAUCASIAN/WHITE,,,,,,,
25,PAYC,PAYCOM SOFTWARE INC,20116,0,CAUCASIAN/WHITE,,,,,,,
26,EMN,EASTMAN CHEMICAL CO,29392,0,CAUCASIAN/WHITE,,,,,,,
27,ALB,ALBEMARLE CORP,29751,0,CAUCASIAN/WHITE,,,,,,,
28,BAC,BANK OF AMERICA CORP,7647,0,CAUCASIAN/WHITE,,,,,,,
29,DUK,DUKE ENERGY CORP,4093,0,CAUCASIAN/WHITE,,,,,,,
30,HON,HONEYWELL INTERNATIONAL INC,1300,0,CAUCASIAN/WHITE,,,,,,,
31,IR,INGERSOLL RAND INC,30098,0,CAUCASIAN/WHITE,,,,,,,
32,NUE,NUCOR CORP,8030,0,CAUCASIAN/WHITE,,,,,,,
33,SEE,SEALED AIR CORP,9555,0,CAUCASIAN/WHITE,,,,,,,
34,TFC,TRUIST FINANCIAL CORP,11856,0,CAUCASIAN/WHITE,,,,,,,
35,XRAY,DENTSPLY SIRONA INC,13700,0,CAUCASIAN/WHITE,,,,,,,
36,ALGN,ALIGN TECHNOLOGY INC,141384,0,CAUCASIAN/WHITE,,,,,,,
37,FCX,FREEPORT-MCMORAN INC,14590,0,CAUCASIAN/WHITE,,,,,,,
38,MCHP,MICROCHIP TECHNOLOGY INC,27965,1,INDIAN/SOUTH ASIAN,,,,,,,
39,NLOK,NORTONLIFELOCK INC,15855,0,CAUCASIAN/WHITE,,,John,Thompson,Symantec,4/14/99,1
39,NLOK,NORTONLIFELOCK INC,15855,0,CAUCASIAN/WHITE,,,Scott,Taylor,Symantec,8/1/08,1
40,ON,ON SEMICONDUCTOR CORP,134932,0,CAUCASIAN/WHITE,,,,,,,
41,PNW,PINNACLE WEST CAPITAL CORP,1075,0,CAUCASIAN/WHITE,,,,,,,
42,RSG,REPUBLIC SERVICES INC,112168,0,CAUCASIAN/WHITE,,,,,,,
43,DLTR,DOLLAR TREE INC,31587,0,CAUCASIAN/WHITE,,,,,,,
44,CEG,CONSTELLATION ENE CORP,40614,0,CAUCASIAN/WHITE,,,,,,,
45,TROW,PRICE (T. ROWE) GROUP,12138,0,CAUCASIAN/WHITE,,,William,Stromberg,T. Rowe Price Group,5/6/15,0
46,UAA,UNDER ARMOUR INC,165052,0,CAUCASIAN/WHITE,,,,,,,
47,EXR,EXTRA SPACE STORAGE INC,160479,0,CAUCASIAN/WHITE,,,,,,,
48,ZION,ZIONS BANCORPORATION NA,11687,0,CAUCASIAN/WHITE,,,,,,,
49,DAL,DELTA AIR LINES INC,3851,0,CAUCASIAN/WHITE,,,,,,,
50,EFX,EQUIFAX INC,4423,0,CAUCASIAN/WHITE,,,,,,,
51,FLT,FLEETCOR TECHNOLOGIES INC,184700,0,CAUCASIAN/WHITE,,,,,,,
52,GPN,GLOBAL PAYMENTS INC,141913,0,CAUCASIAN/WHITE,,,,,,,
53,ICE,INTERCONTINENTAL EXCHANGE,163610,0,CAUCASIAN/WHITE,,,,,,,
54,IVZ,INVESCO LTD,29804,0,CAUCASIAN/WHITE,,,,,,,
55,KO,COCA-COLA CO,3144,0,CAUCASIAN/WHITE,,,Alexander,Cummings,Coca-Cola,7/17/08,1
55,KO,COCA-COLA CO,3144,0,CAUCASIAN/WHITE,,,Vicki,Palmer,Coca-Cola,1/13/04,1
55,KO,COCA-COLA CO,3144,0,CAUCASIAN/WHITE,,,Kathy,Waller,Coca-Cola,2/20/14,1
56,NSC,NORFOLK SOUTHERN CORP,7923,0,CAUCASIAN/WHITE,,,,,,,
57,NWL,NEWELL BRANDS INC,7875,1,INDIAN/SOUTH ASIAN,,,,,,,
58,PHM,PULTEGROUP INC,8823,0,CAUCASIAN/WHITE,,,,,,,
59,ROL,ROLLINS INC,9225,0,CAUCASIAN/WHITE,,,,,,,
60,SO,SOUTHERN CO,9850,0,CAUCASIAN/WHITE,,,Christopher,Womack,Georgia Power,5/26/21,1
