obs,1num,tic,1conm_x,gvkey,1ceo_minority,new_director_source,new_director_name,2director_race(black),2num,2Company,2AnnDate,2permno,TMT_verify_link(Manual Check),*TMT_Active_in_2020_afterMay26(Manual Check),CrossVerify_2role_type,2Confounded,2Interim,2gender(female?),blackTMT?,Num_Black_TMT,EverHad_Black_TMT,3num,3CompanyID,3DirectorID,3CompanyName,3RoleName,1ethnicity (from boardex),3DateStartRole,3DateEndRole,3Seniority,Director_EverBeen_CEO?,3Director_Active_in_2020_afterMay26
1,6,LH,LABORATORY CP OF AMER HLDGS,14960,0,3BoardEx,Adam Schechter,,,,,,,No,,,,,,0,0,332,18319,495421,LABORATORY CORP OF AMERICA HLDGS (LABCORP),President/CEO,CAUCASIAN/WHITE,11/1/19,5/13/20,Executive Director,1,No
2,472,NDAQ,NASDAQ INC,149337,0,3BoardEx,Adena Friedman,,,,,,,Yes,,,,,,0,0,580,42640,483505,NASDAQ INC (NASDAQ OMX Group Inc prior to 09/2015),President/CEO,CAUCASIAN/WHITE,1/1/17,1/1/23,Executive Director,1,Yes
3,142,BRK.B,BERKSHIRE HATHAWAY,2176,0,3BoardEx,Ajit Jain,,,,,,,Yes,,,,,,0,0,73,4080,1113697,BERKSHIRE HATHAWAY INC,Vice Chairman - Operations,CAUCASIAN/WHITE,1/9/18,,Executive Director,0,Yes
4,301,AOS,SMITH (A.O.),9771,0,3BoardEx,Ajita Rajendra,,,,,,,No,,,,,,0,0,496,28304,484111,SMITH (AO) CORP,Chairman (Executive),CAUCASIAN/WHITE,9/1/18,5/1/20,Executive Director,0,No
5,419,V,VISA INC,179534,0,3BoardEx,Al Kelly Jr,,,,,,,Yes,,,,,,0,0,626,937594,33689,VISA INC,Chairman/CEO,CAUCASIAN/WHITE,4/16/19,2/1/23,Executive Director,1,Yes
6,204,WAB,WABTEC CORP,60979,1,3BoardEx,Al Neupaver,,,,,,,Yes,,,,,,0,0,557,33000,205052,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,Chairman (Executive),HISPANIC/LATIN AMERICAN,5/1/18,7/1/20,Executive Director,0,Yes
7,340,COO,COOPER COS INC (THE),3504,0,3BoardEx,Al White III,,,,,,,Yes,,,,,,0,0,155,7836,517326,COOPER COMPANIES INC,President/CEO,CAUCASIAN/WHITE,5/1/18,,Executive Director,1,Yes
8,11,WMB,WILLIAMS COS INC,11506,0,3BoardEx,Alan Armstrong,,,,,,,Yes,,,,,,0,0,570,33512,443291,WILLIAMS COMPANIES INC,President/CEO,CAUCASIAN/WHITE,1/3/11,,Executive Director,1,Yes
9,450,AIZ,ASSURANT INC,157057,0,3BoardEx,Alan Colberg,,,,,,,Yes,,,,,,0,0,598,550072,853893,ASSURANT INC,President/CEO,CAUCASIAN/WHITE,1/1/15,5/18/21,Executive Director,1,Yes
10,233,UHS,UNIVERSAL HEALTH SVCS INC,11032,0,3BoardEx,Alan Miller,,,,,,,Yes,,,,,,0,0,533,31865,81852,UNIVERSAL HEALTH SERVICES INC,Chairman/CEO,CAUCASIAN/WHITE,5/20/09,1/1/21,Executive Director,1,Yes
11,484,TRV,TRAVELERS COS INC,62689,0,2Bermiss,Alan Schnitzer,0,104,The Travelers Companies,8/4/15,59459,,Yes,CEO,0,0,0,,0,0,596,469152,533891,THE TRAVELERS COMPANIES INC (St Paul Travelers Companies Inc prior to 02/2007),Chairman/CEO,CAUCASIAN/WHITE,8/1/17,,Executive Director,1,Yes
12,484,TRV,TRAVELERS COS INC,62689,0,3BoardEx,Alan Schnitzer,0,104,The Travelers Companies,8/4/15,59459,,Yes,CEO,0,0,0,,0,0,596,469152,533891,THE TRAVELERS COMPANIES INC (St Paul Travelers Companies Inc prior to 02/2007),Chairman/CEO,CAUCASIAN/WHITE,8/1/17,,Executive Director,1,Yes
13,254,IP,INTL PAPER CO,6104,0,3BoardEx,Alen Silverrstieen,,,,,,,Yes,,,,,,0,0,683,1985284,2589083,IMAGINEAR INC (Imagination Park Technologies Inc prior to 04/2020),President/CEO,CAUCASIAN/WHITE,3/1/19,1/1/21,Executive Director,1,Yes
14,212,JNJ,JOHNSON & JOHNSON,6266,0,3BoardEx,Alex Gorsky,,,,,,,Yes,,,,,,0,0,314,17478,747756,JOHNSON & JOHNSON,Chairman/CEO,CAUCASIAN/WHITE,12/28/12,1/3/22,Executive Director,1,Yes
15,55,KO,COCA-COLA CO,3144,0,2Bermiss,Alexander Cummings,1,176,Coca-Cola,7/17/08,11308,https://www.coca-colacompany.com/media-center/coca-cola-chief-administrative-officer-alexander-b-cummings-to-retire,No,TMT,1,,0,1,3,1,140,7204,877797,COCA-COLA CO,Chairman/CEO,CAUCASIAN/WHITE,4/24/19,,Executive Director,1,Yes
16,299,GM,GENERAL MOTORS CO,5073,0,2Bermiss,Alicia Boler Davis,1,163,General Motors,6/9/16,12369,,,TMT,1,,1,1,1,1,654,1673114,892349,GENERAL MOTORS CO,Chair/CEO,CAUCASIAN/WHITE,1/4/16,,Executive Director,1,Yes
17,231,ZBRA,ZEBRA TECHNOLOGIES CP -CL A,24405,0,3BoardEx,Anders Gustafsson,,,,,,,Yes,,,,,,0,0,575,34075,204453,ZEBRA TECHNOLOGIES CORP,CEO,CAUCASIAN/WHITE,9/4/07,3/1/23,Executive Director,1,Yes
18,478,PM,PHILIP MORRIS INTERNATIONAL,179621,0,3BoardEx,Andr___© Calantzopoulos,,,,,,,Yes,,,,,,0,0,636,1060044,36791,PHILIP MORRIS INTERNATIONAL INC,CEO,CAUCASIAN/WHITE,5/8/13,5/5/21,Executive Director,1,Yes
19,462,IFF,INTL FLAVORS & FRAGRANCES,6078,0,3BoardEx,Andreas Fibig,,,,,,,Yes,,,,,,0,0,304,16530,548131,INTERNATIONAL FLAVORS & FRAGRANCES INC,Chairman/CEO,CAUCASIAN/WHITE,12/1/14,2/14/22,Executive Director,1,Yes
20,251,SPG,SIMON PROPERTY GROUP INC,29389,0,3BoardEx,Andrew Clark,,,,,,,Yes,,,,,,0,0,715,2686564,2239576,SPARK POWER GROUP INC (Canaccord Genuity Acquisition Corp prior to 09/2018) (De-listed 12/2023),Co-CEO,CAUCASIAN/WHITE,8/31/18,1/5/21,Executive Director,1,Yes
21,465,L,LOEWS CORP,6781,0,3BoardEx,Andrew Tisch,,,,,,,Yes,,,,,,0,0,344,19065,11269,LOEWS CORP,Co-Chairman,CAUCASIAN/WHITE,1/10/06,12/31/21,Executive Director,0,Yes
22,413,EA,ELECTRONIC ARTS INC,16721,0,3BoardEx,Andrew Wilson,,,,,,,Yes,,,,,,0,0,204,10364,1207036,ELECTRONIC ARTS INC,CEO,CAUCASIAN/WHITE,9/17/13,8/12/21,Executive Director,1,Yes
23,311,USB,US BANCORP,4723,0,3BoardEx,Andy Cecere,,,,,,,Yes,,,,,,0,0,536,31946,34167,US BANCORP,Chairman/President/CEO,CAUCASIAN/WHITE,4/17/18,,Executive Director,1,Yes
24,489,CSGP,COSTAR GROUP INC,112111,0,3BoardEx,Andy Florance,,,,,,,Yes,,,,,,0,0,160,8021,201870,COSTAR GROUP INC,President/CEO,CAUCASIAN/WHITE,1/1/95,,Executive Director,1,Yes
25,14,HD,HOME DEPOT INC,5680,0,2Bermiss,Ann-Marie Campbell,1,172,Home Depot,1/19/16,66181,,,TMT,0,,1,1,3,1,281,14982,536170,HOME DEPOT INC,Chairman/President/CEO,CAUCASIAN/WHITE,2/2/15,10/5/20,Executive Director,1,Yes
26,451,AXP,AMERICAN EXPRESS CO,1447,0,2Bermiss,Anr_ Williams,1,251,American Express,11/4/11,59176,,,TMT,1,,0,1,3,1,13,1355,1077323,ALEXION PHARMACEUTICALS INC (De-listed 07/2021),CEO,CAUCASIAN/WHITE,3/27/17,7/21/21,Executive Director,1,Yes
27,451,AXP,AMERICAN EXPRESS CO,1447,0,2Bermiss,Anr_ Williams,1,251,American Express,11/4/11,59176,,,TMT,1,,0,1,3,1,22,1815,455385,AMERICAN EXPRESS CO,Chairman/CEO,CAUCASIAN/WHITE,2/1/18,,Executive Director,1,Yes
28,155,HPE,HEWLETT PACKARD ENTERPRISE,26156,1,3BoardEx,Antonio Neri,,,,,,,Yes,,,,,,0,0,706,2358912,1192124,HEWLETT PACKARD ENTERPRISE CO,President/CEO,HISPANIC/LATIN AMERICAN,2/1/18,,Executive Director,1,Yes
29,64,IQV,IQVIA HOLDINGS INC,17928,0,3BoardEx,Ari Bousbib,,,,,,,Yes,,,,,,0,0,678,1951118,33049,IQVIA HOLDINGS INC (Quintiles IMS Holdings Inc prior to 11/2017),Chairman/President/CEO,CAUCASIAN/WHITE,10/3/16,,Executive Director,1,Yes
30,122,EPAM,EPAM SYSTEMS INC,187697,0,3BoardEx,Arkadiy Dobkin,,,,,,,Yes,,,,,,0,0,667,1796199,1059890,EPAM SYSTEMS INC,Chairman/President/CEO,CAUCASIAN/WHITE,2/8/12,,Executive Director,1,Yes
