num,tic,conm_x,gvkey,ceo_minority,ethnicity (from boardex),ceo_name,ceo_race(black),First,Last,Company,AnnDate,BE
3,LOW,LOWE'S COS INC,6829,1,BLACK/AFRICAN AMERICAN,,,Marvin,Ellison,Lowe¡¯s Companies,5/22/18,1
12,HBI,HANESBRANDS INC,175319,0,CAUCASIAN/WHITE,,,Joia,Johnson,Hanesbrands,1/11/07,1
14,HD,HOME DEPOT INC,5680,0,CAUCASIAN/WHITE,,,Ann-Marie,Campbell,Home Depot,1/19/16,1
14,HD,HOME DEPOT INC,5680,0,CAUCASIAN/WHITE,,,Marvin,Ellison,Home Depot,8/25/08,1
14,HD,HOME DEPOT INC,5680,0,CAUCASIAN/WHITE,,,Teresa,Wynn Roseborough,Home Depot,10/7/11,1
16,AFL,AFLAC INC,1449,0,CAUCASIAN/WHITE,,,Audrey,Boone Tillman,A_ac,5/5/14,1
16,AFL,AFLAC INC,1449,0,CAUCASIAN/WHITE,,,Teresa,White,A_ac,9/29/14,1
22,LMT,LOCKHEED MARTIN CORP,6774,0,CAUCASIAN/WHITE,,,Linda,Gooden,Lockheed Martin,12/7/06,1
39,NLOK,NORTONLIFELOCK INC,15855,0,CAUCASIAN/WHITE,,,John,Thompson,Symantec,4/14/99,1
39,NLOK,NORTONLIFELOCK INC,15855,0,CAUCASIAN/WHITE,,,Scott,Taylor,Symantec,8/1/08,1
55,KO,COCA-COLA CO,3144,0,CAUCASIAN/WHITE,,,Alexander,Cummings,Coca-Cola,7/17/08,1
55,KO,COCA-COLA CO,3144,0,CAUCASIAN/WHITE,,,Vicki,Palmer,Coca-Cola,1/13/04,1
55,KO,COCA-COLA CO,3144,0,CAUCASIAN/WHITE,,,Kathy,Waller,Coca-Cola,2/20/14,1
60,SO,SOUTHERN CO,9850,0,CAUCASIAN/WHITE,,,Christopher,Womack,Georgia Power,5/26/21,1
60,SO,SOUTHERN CO,9850,0,CAUCASIAN/WHITE,,,Christopher,Womack,Southern Company,12/22/08,1
86,GLW,CORNING INC,3532,0,CAUCASIAN/WHITE,,,Lawrence,McRae,Corning,10/7/10,1
95,CMS,CMS ENERGY CORP,3439,0,CAUCASIAN/WHITE,,,Rejji,Hayes,CMS Energy,5/1/17,1
103,WHR,WHIRLPOOL CORP,11465,0,CAUCASIAN/WHITE,,,Michael,Todman,Whirlpool,3/25/01,1
121,ZTS,ZOETIS INC,13721,0,CAUCASIAN/WHITE,,,Clinton,Lewis,Zoetis,5/7/15,1
128,CCL,CARNIVAL CORPORATION & PLC,13498,1,BLACK/AFRICAN AMERICAN,,,Arnold,Donald,Carnival & plc,6/24/13,1
143,UNP,UNION PACIFIC CORP,10867,0,CAUCASIAN/WHITE,,,Eric,Butler,Union Paci_c,11/17/16,1
143,UNP,UNION PACIFIC CORP,10867,0,CAUCASIAN/WHITE,,,Eric,Butler,Union Paci_c,3/15/12,1
143,UNP,UNION PACIFIC CORP,10867,0,CAUCASIAN/WHITE,,,Rhonda,Ferguson,Union Paci_c,6/7/16,1
168,MTB,M & T BANK CORP,4699,0,CAUCASIAN/WHITE,,,Rene,Jones,M&T Bank,12/20/17,1
173,NI,NISOURCE INC,7974,0,CAUCASIAN/WHITE,,,Lloyd,Yates,NiSource,1/28/22,1
173,NI,NISOURCE INC,7974,0,CAUCASIAN/WHITE,,,Donald,Brown,NiSource,3/24/15,1
175,CTAS,CINTAS CORP,3062,0,CAUCASIAN/WHITE,,,Phillip,Holloman,Cintas,1/19/08,1
219,DRI,DARDEN RESTAURANTS INC,31846,0,CAUCASIAN/WHITE,,,Clarence,Otis,Darden Restaurants,8/12/04,1
230,WBA,WALGREENS BOOTS ALLIANCE INC,11264,0,CAUCASIAN/WHITE,,,Rosalind,Brewer,Walgreens,1/26/21,1
230,WBA,WALGREENS BOOTS ALLIANCE INC,11264,0,CAUCASIAN/WHITE,,,Kathleen,Wilson-Thompson,Walgreens Boots Alliance,11/23/09,1
240,URI,UNITED RENTALS INC,66065,0,CAUCASIAN/WHITE,,,William,Plummer,United Rentals,11/24/08,1
242,XRX,XEROX HOLDINGS CORP,11636,0,CAUCASIAN/WHITE,,,Ursula,Burns,Xerox,5/21/09,1
242,XRX,XEROX HOLDINGS CORP,11636,0,CAUCASIAN/WHITE,,,Ursula,Burns,Xerox,4/3/07,1
242,XRX,XEROX HOLDINGS CORP,11636,0,CAUCASIAN/WHITE,,,Darrell,Ford,Xerox,11/2/15,1
242,XRX,XEROX HOLDINGS CORP,11636,0,CAUCASIAN/WHITE,,,Barry,Rand,Xerox,2/4/92,1
242,XRX,XEROX HOLDINGS CORP,11636,0,CAUCASIAN/WHITE,,,Kevin,Warren,Xerox,12/7/16,1
243,CI,CIGNA CORP,2547,0,CAUCASIAN/WHITE,,,Nicole,Jones,Cigna,5/25/10,1
243,CI,CIGNA CORP,2547,0,CAUCASIAN/WHITE,,,Michael,Triplett,Cigna,2/23/17,1
250,LLY,LILLY (ELI) & CO,6730,0,CAUCASIAN/WHITE,,,Derica,Rice,Eli Lilly and Co.,5/6/13,1
250,LLY,LILLY (ELI) & CO,6730,0,CAUCASIAN/WHITE,,,Derica,Rice,Eli Lilly,12/18/09,1
250,LLY,LILLY (ELI) & CO,6730,0,CAUCASIAN/WHITE,,,Derica,Rice,Eli Lilly,2/23/06,1
277,T,AT&T INC,9899,0,CAUCASIAN/WHITE,,,Mirian,Graddick,AT&T,2/12/99,1
277,T,AT&T INC,9899,0,CAUCASIAN/WHITE,,,Xavier,Williams,AT&T,10/12/17,1
284,KEY,KEYCORP,9783,0,CAUCASIAN/WHITE,,,Paul,Harris,KeyCorp,2/3/03,1
284,KEY,KEYCORP,9783,0,CAUCASIAN/WHITE,,,Jeffrey,Weaver,KeyCorp,7/5/05,1
289,MRK,MERCK & CO,7257,1,BLACK/AFRICAN AMERICAN,,,Kenneth,Frazier,Merck,11/30/10,1
289,MRK,MERCK & CO,7257,1,BLACK/AFRICAN AMERICAN,,,Willie,Deese,Merck,5/25/05,1
289,MRK,MERCK & CO,7257,1,BLACK/AFRICAN AMERICAN,,,Kenneth,Frazier,Merck,7/27/07,1
289,MRK,MERCK & CO,7257,1,BLACK/AFRICAN AMERICAN,,,Bridgette,Heller,Merck,2/16/10,1
299,GM,GENERAL MOTORS CO,5073,0,CAUCASIAN/WHITE,,,Alicia,Boler Davis,General Motors,6/9/16,1
308,GIS,GENERAL MILLS INC,5071,0,CAUCASIAN/WHITE,,,Marc,Belton,General Mills,5/3/05,1
308,GIS,GENERAL MILLS INC,5071,0,CAUCASIAN/WHITE,,,Marc,Belton,General Mills,5/4/06,1
309,TGT,TARGET CORP,3813,0,CAUCASIAN/WHITE,,,Laysha,Ward,Target,12/17/14,1
310,UNH,UNITEDHEALTH GROUP INC,10903,0,CAUCASIAN/WHITE,,,Reed,Tuckson,UnitedHealth Group,9/16/00,1
322,RTN,RAYTHEON CO,8972,0,CAUCASIAN/WHITE,,,Hansel,Tookes,Raytheon,9/8/99,1
330,DIS,DISNEY (WALT) CO,3980,0,CAUCASIAN/WHITE,,,Dennis,Hightower,Walt Disney,9/24/90,1
330,DIS,DISNEY (WALT) CO,3980,0,CAUCASIAN/WHITE,,,Richard,Nanula,Walt Disney,8/29/91,1
337,ORCL,ORACLE CORP,12142,0,CAUCASIAN/WHITE,,,Charles,Phillips,Oracle,1/13/04,1
342,DPZ,DOMINO'S PIZZA INC,160211,0,CAUCASIAN/WHITE,,,Troy,Ellis,Domino¡¯s Pizza,6/30/15,1
